ID RH;RG;CPF;Ramal;Estado Civil;Nome Completo;Login;Data de Nascimento;CEP;Data de Contratacao;Data de Demissao;Dias Uteis Trabalhados Ano Orcamentario;Salario Base;Impostos;Beneficios;VT;VR;Cargo;Bandeira;Codigos;Quantidade de Acessos;Ferias Acumuladas;Ferias Remuneradas;Horas Extras;Valores Adicionais;ID de Pessoal;ID da area;Nível;Área;COD Área;COD Nível;Quadro;Bonus;Contratacao;Descrição Nível;Tempo no Nível;Plano de Saúde;Plano Odontológico;Setor Responsável;Plano de Carreira
1;455550390;57507179051;6482;C;Gabriel Mesquita;gabriel.mesquita;1970-01-03;20125535;2006-03-18;0;214;21910;10955;4382;242;719,04;OPV;;UAK1729-MCG;140;47;;97;;;10;Diretor;Operações;JAJ;JE;Efetivo;S;Diretoria;Estagiário;1.0;Sim;Não;RH Universidade;Sim
2;732355385;50388536767;6177;C;João Haddad;joão.haddad;1974-04-28;25995770;2008-06-08;0;171;5404;2702;1080,8;154;574,56;LOI;;QDI6697-POC;143;31;;166;;;545;Estagiário;Logísitca;EDE;JA;Efetivo;N;Gerente;Analista;4.0;Sim;Não;RH Empresas;Sim
3;943205737;59035293914;7736;C;Amanda Marques Ribeiro;amanda.ribeiro;1990-01-09;37278465;2008-01-05;0;217;16066;8033;3213,2;154;729,12;ADI;;AJB6796-ZAR;110;60;;188;;;213;Estagiário;Administrativo;BAC;JA;Efetivo;N;Gerente;Coordenador;5.0;Sim;Sim;RH Empresas;Sim
4;968298499;51397043200;5238;C;Guilherme Nunez;guilherme.nunez;1993-05-09;49897703;2011-05-05;0;156;21305;10652,5;4261;220;524,16;ADII;;UXE5742-IZD;101;41;;176;;;213;Analista;Administrativo;BAC;DB;Terceiro;N;RH;Gerente;10.0;Sim;Sim;RH Empresas;Não
5;332164465;1296878897;5182;C;Adelino Gomes;adelino.gomes;1974-04-01;30149335;2000-03-18;0;216;5098;2549;1019,6;176;725,76;ADII;;OKI6642-TSV;35;9;;121;;;213;Analista;Operações;JAJ;DB;Terceiro;N;RH;Diretor;10.0;Sim;Sim;RH Headhunter;Não
6;308540039;82450866508;7725;C;Audir de Avila Goulart;audir.goulart;1999-05-21;22796750;2017-06-14;0;177;23688;11844;4737,6;242;594,72;OPII;;EOZ6407-AHG;75;27;;55;150.0;;10;Diretor;Financeiro;CBB;JE;Efetivo;S;Diretoria;;;;;;
7;970144682;10987705941;3428;C;Zilma Guimarães;zilma.guimarães;1999-09-30;44060184;2017-09-25;0;242;17875;8937,5;3575;286;813,12;FIV;;NFQ7851-CCO;62;6;;98;;;322;Analista;Financeiro;CBB;DB;Terceiro;N;RH;;;;;;
8;605178030;76842679305;4276;C;Gil Bonder;gil.bonder;1989-06-24;43115256;2007-06-20;0;229;3540;1770;708;198;769,44;OPII;;PRS1638-RLS;121;12;;37;;;10;Coordenador;Administrativo;BAC;DB;Terceiro;N;RH;;;;;;
9;861631953;74310689799;6625;S;Gustavo de Melo Teixeira;gustavo.teixeira;1990-07-07;34949262;2008-07-02;0;222;23512;11756;4702,4;242;745,92;FIII;;NLT6797-NHJ;90;49;;116;;;322;Gerente;Logísitca;EDE;ID;Efetivo;S;Diretoria;;;;;;
10;156468673;92175010221;4219;S;Andre Campos;andre.campos;1989-07-03;34786165;2013-02-27;0;214;24857;12428,5;4971,4;264;719,04;ADIII;;SXZ6534-MCZ;55;21;;164;;;213;Estagiário;Financeiro;CBB;JA;Efetivo;N;Gerente;;;;;;
11;182915795;88574140300;3626;S;André Melo Soledade;andré.soledade;1972-08-19;47757686;1997-06-15;0;214;9955;4977,5;1991;198;719,04;ADII;;LFE7557-VUB;142;6;;191;;;213;Coordenador;Logísitca;EDE;DB;Terceiro;N;RH;;;;;;
12;413092549;74387929625;1651;S;Natalia Morgan Loureiro;natalia.loureiro;1971-02-01;49949843;1990-01-13;1999-12-23;168;3179;1589,5;635,8;154;564,48;ADII;;GGD4018-YSH;95;11;;50;1500.0;;213;Coordenador;Comercial;JAA;DB;Terceiro;N;RH;;;;;;
13;658540057;55830536968;2749;C;Luca Costa;luca.costa;1977-09-26;29865779;2008-12-02;0;196;22980;11490;4596;176;658,56;LOIV;;JDK1450-NTV;140;45;;117;;;545;Gerente;Comercial;JAA;ID;Efetivo;S;Diretoria;;;;;;
14;843569528;54730799637;5853;C;Jessica Oliveira Lima;jessica.lima;1986-02-07;35975718;2004-02-03;0;180;2182;1091;436,4;220;604,8;FII;;FLF3450-RHQ;142;28;;111;;;322;Diretor;Administrativo;BAC;JE;Efetivo;S;Diretoria;;;;;;
15;791412983;99880514390;5261;C;Caio Scalabrin;caio.scalabrin;1970-06-09;32029708;1998-08-19;2008-06-16;203;22680;11340;4536;242;682,08;ADIII;;FRY7251-EVJ;54;25;;77;;;213;Coordenador;Financeiro;CBB;DB;Terceiro;N;RH;;;;;;
16;472900409;58073890246;2299;S;Vinicius Freitas;vinicius.freitas;1988-12-25;25892815;2016-09-07;0;236;2411;1205,5;482,2;264;792,96;FIII;;FVH3591-YKG;38;29;;38;;;322;Analista;Logísitca;EDE;DB;Terceiro;N;RH;;;;;;
17;711435762;61294979931;4017;S;Pedro Carrera;pedro.carrera;1971-07-14;35752243;1991-08-25;0;187;15718;7859;3143,6;176;628,32;LOIII;;YVU2316-INY;90;55;;179;;;545;Gerente;Operações;JAJ;ID;Efetivo;S;RH;;;;;;
